title,code,name
EiEWG,eiewg,Education in Emergencies
ESNFI,esnfi,Emergency Shelter and NFI
FSAC,fsac,Food Security and Agriculture
Health,health,Health
Nutrition,nutrition,Nutrition
MPC,cvwg,Multi-Purpose Cash
Protection,protection,Protection - General Protection
CCCM,cccm,Camp Coordination / Management
Food Security,fss,Food Security
Agriculture,agriculture,Agriculture
"Site Management, Site Development and DRR",smsd,"Site Management, Site Development and DRR"
CwCWG,cwcwg,Communication with Communities
SAN,san,Food Security and Agriculture(SAN)
Alojamientos/Asentamientos,alojamientos_asentamientos,Alojamientos/Asentamientos
Ningún Cluster,ningún_cluster,Ningún Cluster
Recuperación Temprana,recuperacion_temprana,Recuperación Temprana