activity_description_id,activity_description_name,activity_type_id,activity_type_name,cluster_id,,,
assessment_partially_damaged,Partially Damaged (Some internal walls collapsed, roof leaking, doors broken,),damaged_destroyed_shelter_assessment,Assessment of Damaged/Destroyed  Shelter,esnfi
livelihoods-support-backyard-vegetable-cultivation-1-month,Livelihoods support: backyard vegetable cultivation (1 month),hrp-2023-agriculture-based-livelihood-support,(HRP 2023) Agriculture Based Livelihood Support,fsac,,,
livelihoods-support-summer-cultivation-package-1-month,Livelihoods support: summer cultivation package (1 month),hrp-2023-agriculture-based-livelihood-support,(HRP 2023) Agriculture Based Livelihood Support,fsac,,,
livelihoods-support-winter-wheat-cultivation-package-1-month,Livelihoods support: winter wheat cultivation package (1 month),hrp-2023-agriculture-based-livelihood-support,(HRP 2023) Agriculture Based Livelihood Support,fsac,,,
cccm-wg-mobile-site-management,CCCM WG: Mobile Site Management,hrp-2023-cccm-assistance,(HRP 2023) CCCM Assistance,esnfi,,,
cccm-wg-site-care-and-maintenance,CCCM WG: Site Care and Maintenance,hrp-2023-cccm-assistance,(HRP 2023) CCCM Assistance,esnfi,,,
camp-coordination-and-camp-management-working-group,Camp Coordination and Camp Management Working Group,hrp-2023-cccm-mechanisms,(HRP 2023) CCCM Mechanisms,coordination,,,
accountability-to-affected-people-wg,Accountability to affected People WG,hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
gender-in-humanitarian-action-tf,Gender in Humanitarian Action TF,hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
disability-inclusion-wg,Disability Inclusion WG,hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
coordination-common-services-and-information-management,"Coordination, common services and information management",hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
assessments,Assessments,hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
protection-from-sexual-exploitation-and-abuse-tf,Protection from Sexual Exploitation and Abuse TF,hrp-2023-coordination-and-common-services-,(HRP 2023) Coordination and Common Services ,coordination,,,
establish-and-train-shuras-on-roles-and-responsibilities-community-mobilization-and-preparedness-planning,"Establish and train Shuras on roles and responsibilities, community mobilization and preparedness planning",hrp-2023-curricula,(HRP 2023) Curricula,education,,,
teacher-training-activities-on-standardized-teacher-training-manual-including-pssdisability-and-inclusion,"Teacher training activities on standardized Teacher training manual, including PSS/disability and inclusion",hrp-2023-curricula,(HRP 2023) Curricula,education,,,
establishmaintain-community-based-classes-cbcs,Establish/maintain Community-Based Classes (CBCs).,hrp-2023-equal-access,(HRP 2023) Equal Access,education,,,
support-shock-affected-vulnerable-boys-and-girls-with-emergency-education-support,Support shock-affected vulnerable boys and girls with emergency education support.,hrp-2023-equal-access,(HRP 2023) Equal Access,education,,,
alternative-learning-modalities-developed-and-implemented,Alternative learning modalities developed and implemented,hrp-2023-equal-access,(HRP 2023) Equal Access,education,,,
food-assistance-for-cross-border-returnees-4-months,Food assistance for cross-border returnees (4 months),hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-idps-3-months,Food assistance for IDPs (3 months),hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-natural-disaster-affected-2-months,Food assistance for natural disaster-affected (2 months),hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-pakistani-refugees-6-months,Food assistance for Pakistani refugees (6 months),hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-people-in-ipc-phase-3-jan-apr-nov-dec-6-months,"Food assistance for people in IPC Phase 3 (Jan-Apr, Nov-Dec, 6 months)",hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-people-in-ipc-phase-3-may-oct-2-months,"Food assistance for people in IPC Phase 3 (May-Oct, 2 months)",hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-people-in-ipc-phase-4-jan-apr-nov-dec-6-months,"Food assistance for people in IPC Phase 4 (Jan-Apr, Nov-Dec, 6 months)",hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
food-assistance-for-people-in-ipc-phase-4-may-oct-6-months,"Food assistance for people in IPC Phase 4 (May-Oct, 6 months)",hrp-2023-food-assistance,(HRP 2023) Food Assistance,fsac,,,
bsfp-in-children-6-59-months,BSFP in children 6-59 months,hrp-2023-infant-and-young-child-feeding,(HRP 2023) Infant and Young Child Feeding,nutrition,,,
integrated-package-in-prioritized-provinces,Integrated package in prioritized provinces,hrp-2023-infant-and-young-child-feeding,(HRP 2023) Infant and Young Child Feeding,nutrition,,,
bsfp-in-plw,BSFP in PLW,hrp-2023-infant-and-young-child-feeding,(HRP 2023) Infant and Young Child Feeding,nutrition,,,
am-treatment-of-plw-in-opd,AM treatment of PLW in OPD,hrp-2023-infant-and-young-child-feeding,(HRP 2023) Infant and Young Child Feeding,nutrition,,,
miycn-counselling,MIYCN counselling,hrp-2023-infant-and-young-child-feeding,(HRP 2023) Infant and Young Child Feeding,nutrition,,,
livelihoods-support-for-natural-disaster-affected-1month,Livelihoods support for natural disaster-affected (1month),hrp-2023-livelihood-support,(HRP 2023) Livelihood Support,fsac,,,
livelihoods-support-for-asset-creation-6-months,Livelihoods support for asset creation (6 months),hrp-2023-livelihood-support,(HRP 2023) Livelihood Support,fsac,,,
livelihoods-support-backyard-poultry-package-1-month,Livelihoods support: backyard poultry package (1 month),hrp-2023-livestock-based-support,(HRP 2023) Livestock Based Support,fsac,,,
livelihoods-support-livestock-protection-package-1-month,Livelihoods support: livestock protection package (1 month),hrp-2023-livestock-based-support,(HRP 2023) Livestock Based Support,fsac,,,
containment-of-plant-pest-and-animal-disease-outbreaks,Containment of plant pest and animal disease outbreaks,hrp-2023-livestock-based-support,(HRP 2023) Livestock Based Support,fsac,,,
nfi-assistance,NFI Assistance,hrp-2023-nfi-assistance,(HRP 2023) NFI Assistance,esnfi,,,
unconditional-cash-transfer,Unconditional cash transfer,hrp-2023-non-agriculture-based-livelihood-support,(HRP 2023) Non-Agriculture Based Livelihood Support,fsac,,,
mnp-in-children-6-23-months,MNP in children 6-23 months,hrp-2023-prevention-and-control-of-micronutrients-deficiencies,(HRP 2023) Prevention and Control of Micronutrients Deficiencies,nutrition,,,
vitamin-a-supplementation-in-children-6-59-months,Vitamin A supplementation in children 6-59 months,hrp-2023-prevention-and-control-of-micronutrients-deficiencies,(HRP 2023) Prevention and Control of Micronutrients Deficiencies,nutrition,,,
community-screening-of-children-6-59-months,Community screening of children 6-59 months,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
community-based-sentinel-sites,Community based sentinel sites,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
coordination,Coordination,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
sam-treatment-of-children-0-59-months-in-ipd,SAM treatment of children 0-59 months in IPD,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
mam-treatment-of-children-6-59-months-in-opd,MAM treatment of children 6-59 months in OPD,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
sam-treatment-of-children-6-59-months-in-opd,SAM treatment of children 6-59 months in OPD,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
operational-research,Operational research,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
smart-surveys,SMART surveys,hrp-2023-prevention-and-management-of-acute-malnutrition,(HRP 2023) Prevention and Management of Acute Malnutrition,nutrition,,,
recruitment-deployment-and-payment-of-teachers,"Recruitment, deployment and payment of teachers.",hrp-2023-recruitment-and-selection,(HRP 2023) Recruitment and Selection,education,,,
shelter-repair-reconstruction-toolkit,Shelter repair reconstruction toolkit,hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
shelter-repair-reconstruction-for-minor-damages,Shelter repair / reconstruction for minor damages,hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
shelter-repair-reconstruction-for-severe-damages,Shelter repair / reconstruction for severe damages,hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
emergency-shelter-kit-tent-2-pcs-of-plastic-tarpaulin,Emergency shelter kit (tent+ 2 pcs of plastic tarpaulin),hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
emergency-shelter-assistance-cash-for-rent,Emergency shelter assistance (cash for rent),hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
transitional-shelter-support,Transitional Shelter Support,hrp-2023-shelter-assistance,(HRP 2023) Shelter Assistance,esnfi,,,
winterization-support-in-cbe-alc-mbe-and-tls,"Winterization Support in CBE, ALC, MBE and TLS",hrp-2023-winterization,(HRP 2023) Winterization,education,,,
assistance-to-cover-winterization-needs-blankets-or-quilts,Assistance to cover winterization needs (Blankets or Quilts),hrp-2023-winterization-assistance,(HRP 2023) Winterization Assistance,esnfi,,,
assistance-to-cover-winterization-needs-heater-fuel,Assistance to cover winterization needs (Heater & Fuel),hrp-2023-winterization-assistance,(HRP 2023) Winterization Assistance,esnfi,,,
assistance-to-cover-winterization-needs-winter-clothing,Assistance to cover winterization needs (Winter Clothing),hrp-2023-winterization-assistance,(HRP 2023) Winterization Assistance,esnfi,,,
covid-19_mitigation_measures_in_placed,COVID-19 Mitigation Measures in placed,accountability_quality_assurance,Accountability and Quality Assurance,wash,,,
receipt_for_technical_quality_assurance_by_the_authorities,Receipt for technical quality assurance by the authorities,accountability_quality_assurance,Accountability and Quality Assurance,wash,,,
use_of_wash_cluster_perception_indicators,Use of WASH Cluster Perception Indicators,accountability_quality_assurance,Accountability and Quality Assurance,wash,,,
food_assistanse_within_week_resolved_calls,Food Assitance within a week Resolved Calls,affected_population_accountability,Accountability to Affected Population,fsac,,,
equitable_access_to_wash_facilities_and_services,Equitable Access to WASH Facilities and Services,affected_population_accountability,Accountability to Affected Population (AAP),wash,,,
effective_mechanisms_for_representative_and_participatory_input,Effective Mechanisms for Representative and Participatory Input,affected_population_accountability,Accountability to Affected Population (AAP),wash,,,
equitable_access_to_wash_facilities_services,Equitable Access to WASH Facilities and Services,affected_population_accountability,Accountability to Affected Population (AAP),wash,,,
effective_mechanisms_for_input,Effective Mechanisms for Representative and Participatory Input,affected_population_accountability,Accountability to Affected Population (AAP),wash,,,
children_6_59_screening,Children 6-59 Months Screenings,acute_malnutrition,Acute Malnutrition,nutrition,,,
mam_0_59_admissions,MAM 0-59 Months Admissions,acute_malnutrition,Acute Malnutrition,nutrition,,,
mam_6_59_screening,MAM 6-59 Months Screenings,acute_malnutrition,Acute Malnutrition,nutrition,,,
mam_6_59_admissions,MAM 6-59 Months Admissions,acute_malnutrition,Acute Malnutrition,nutrition,,,
mam_6_59_referrals,MAM 6-59 Months Referrals,acute_malnutrition,Acute Malnutrition,nutrition,,,
odp_mam_children_discharged_cured_a,ODP MAM Children Discharged Cured (A),acute_malnutrition,Acute Malnutrition,nutrition,,,
sam_0_59_screening,SAM 0-59 Months Screenings,acute_malnutrition,Acute Malnutrition,nutrition,,,
sam_0_59_admissions,SAM 0-59 Months Admissions,acute_malnutrition,Acute Malnutrition,nutrition,,,
sam_0_59_referrals,SAM 0-59 Months Referrals,acute_malnutrition,Acute Malnutrition,nutrition,,,
odp_sam_children_discharged_cured_a,ODP SAM Children Discharged Cured (A),acute_malnutrition,Acute Malnutrition,nutrition,,,
plw_screening,PLW Screenings,acute_malnutrition,Acute Malnutrition,nutrition,,,
plw_referrals,PLW Referrals,acute_malnutrition,Acute Malnutrition,nutrition,,,
plw_admissions,PLW Admissions,acute_malnutrition,Acute Malnutrition,nutrition,,,
odp_am_plw_admissions,ODP-AM PLW Admissions,acute_malnutrition,Acute Malnutrition,nutrition,,,
seed_distribution_wheat_in_kind,Wheat Seed Distribution - In Kind,agriculture_livelihood_support,Agriculture Based Livelihood Support,fsac,,,
seed_distribution_vegtable_in_kind,Vegetable Seed Distribution - In Kind,agriculture_livelihood_support,Agriculture Based Livelihood Support,fsac,,,
seed_distribution_vegtable_cbt,Vegetable Seed Distribution - CBT,agriculture_livelihood_support,Agriculture Based Livelihood Support,fsac,,,
seed_distribution_wheat_cbt,Wheat Seed Distribution - CBT,agriculture_livelihood_support,Agriculture Based Livelihood Support,fsac,,,
seed_distribution_other_in_kind,Other Seed Distribution - In Kind,agriculture_livelihood_support,Agriculture Based Livelihood Support,fsac,,,
seed_distribution_other_cbt,Other Seed Distribution - CBT,agriculture_livelihood_support,Agriculture Based Livelihood Support,fsac,,,
kitchen_gardening,Kitchen Gardening,agriculture_livelihood_support,Agriculture Based Livelihood Support,fsac,,,
fertalizer_distribution_in_kind,Fertilizer Distribution - In Kind,agriculture_livelihood_support,Agriculture Based Livelihood Support,fsac,,,
fertalizer_distribution_cbt,Fertilizer Distribution - CBT,agriculture_livelihood_support,Agriculture Based Livelihood Support,fsac,,,
assessment_fully_destroyed,Fully destroyed,damaged_destroyed_shelter_assessment,Assessment of Damaged/Destroyed  Shelter,esnfi,,,
assessment_minimal_damaged,Minimal Damage (Windows damaged etc),damaged_destroyed_shelter_assessment,Assessment of Damaged/Destroyed  Shelter,esnfi,,,
education_personnel_eiewg_training,Training EiEWG to Education Personnel,capacity_building,Capacity Building,eiewg,,,
school_management_sura_training,School Management SURA Training,capacity_building,Capacity Building,eiewg,,,
teachers_training,Teachers Training,capacity_building,Capacity Building,eiewg,,,
teachers_recruitment,Teachers Recruitment,capacity_building,Capacity Building,eiewg,,,
training-water-user-committees,Training water user committees,capacity-building,Capacity Building,wash,,,
training-water-utility-staff,Training water utility staff,capacity-building,Capacity Building,wash,,,
training-hygiene-promoters,Training Hygiene Promoters,capacity-building,Capacity Building,wash,,,
training-hcfs-staff-on-wash-om-including-disinfection,Training HCFs staff on WASH O&M including disinfection,capacity-building,Capacity Building,wash,,,
training-school-staff-on-wash-om-including-disinfection,Training school staff on WASH O&M including disinfection,capacity-building,Capacity Building,wash,,,
training_awareness_drr,DRR Training / Awareness,esnfi_education_training,Capacity Building/Technical Support,esnfi,,,
training_upgrading_repair_shelter,Upgrading / Repair of Shelter Training,esnfi_education_training,Capacity Building/Technical Support,esnfi,,,
training_on_upgrading_repairs_of_shelters,Training on Upgrading/Repairs of shelters,esnfi_education_training,Capacity Building/Technical Support,esnfi,,,
training_on_construction_of_transitional_shelters,Training on construction of Transitional Shelters,esnfi_education_training,Capacity Building/Technical Support,esnfi,,,
training_on_construction_of_permanent_shelters,Training on construction of Permanent Shelters,esnfi_education_training,Capacity Building/Technical Support,esnfi,,,
assistance_through_cash_distribution,Assistance through Cash distribution,cash_voucher,Cash and/or Voucher Activities,wash,,,
assistance_through_voucher_distribution,Assistance through Voucher distribution,cash_voucher,Cash and/or Voucher Activities,wash,,,
establishment_and_management_of_the_community_centers,Establishment and Management of the Community Centers,cccm_mechanisms,CCCM Mechanisms,cccm,,,
cccm_referral_and_escalation_systems_established,CCCM Referral and Escalation Systems Established,cccm_referral_mechanism,CCCM Referral Mechanism,cccm,,,
multi-sectorial_service_coordination_in_isets_and_idp_sites,Multi-sectorial service coordination in ISETs and IDP Sites,cccm_service_coordination,CCCM Service Coordination,cccm,,,
"cccm_mobile_site_managers_staff_with_cccm_training_tot,_protection,_psea_and_gbv_risk_mitigation_training","CCCM Mobile Site Managers/Staff with CCCM Training (ToT), Protection, PSEA and GBV Risk Mitigation Training",cccm_training_capacity_building_activites,CCCM Training/Capacity Building Activites,cccm,,,
risk_community_engagement,Risk Communication and Community Engagement,covid_19,COVID-19,health,,,
surveillance,Surveillance,covid_19,COVID-19,health,,,
maintaining_health_care_activities_mht,Maintaining Health Care Activities - through Mobile Health Teams,covid_19,COVID-19,health,,,
Establishment of Isolation Centers,Establishment of Isolation Centers,covid_19,COVID-19,health,,,
provision_covid_19_services,Provision of COVID-19 Services,covid_19,COVID-19,health,,,
psychosocial_and_mental_health_support,Psychosocial and mental health support,cpie,CPiE,protection,,,
awareness_raising_and_advocacy,Awareness raising and advocacy,cpie,CPiE,protection,,,
community_based_child_protection_system,Community Based Child Protection System,cpie,CPiE,protection,,,
training_capacity_building,Training/ Capacity building,cpie,CPiE,protection,,,
child_protection_supplies_and_emergency_kits,Child protection supplies and emergency kits,cpie,CPiE,protection,,,
social_economic_and_education_reintegration,"Social, economic and education reintegration",cpie,CPiE,protection,,,
adolescents_programming,Adolescents programming,cpie,CPiE,protection,,,
integrated_case_management_services,Integrated case management services,cpie,CPiE,protection,,,
case_management,Case Management,cpie,CPiE,protection,,,
children_in_conflict,Children in conflict,cpie,CPiE,protection,,,
"community_work,_advocacy_and_awareness","Community work, advocacy and awareness",cpie,CPiE,protection,,,
psychosocial_support_for_children,Psychosocial support for children,cpie,CPiE,protection,,,
case_management_and_referrals_for_at-risk_children,Case Management and Referrals for At-Risk Children,cpie,CPiE,protection,,,
community-based_awareness_raising_on_child_protection,Community-Based Awareness Raising on Child Protection,cpie,CPiE,protection,,,
advocacy_and_response_to_child_recruitment,Advocacy and Response to Child Recruitment,cpie,CPiE,protection,,,
victim_assistance_for_children_in_conflict,Victim Assistance for Children in Conflict,cpie,CPiE,protection,,,
training_for_child_protection_specialists_on_child_protection_standards,Training for Child Protection Specialists on Child Protection Standards,cpie,CPiE,protection,,,
psycho_social_provision,Provision of psychosocial support,cpie,CPiE,protection,,,
case_management_referral_cpie,Case Management & Referral,cpie,CPiE,protection,,,
community_based_awareness_cpie,Community Based Awareness Raising on Child Protection,cpie,CPiE,protection,,,
advocacy_response_child_recruitment,Advocacy & Response to the child recruitment,cpie,CPiE,protection,,,
cpie_safe_space,Safe Space for Children,cpie,CPiE,protection,,,
victims_assistance_provision,Provision of victims' assistance,cpie,CPiE,protection,,,
training_cpie,Training / Capacity Building,cpie,CPiE,protection,,,
familiy_tracing_reunification_provision,Provision of family tracing & reunification services,cpie,CPiE,protection,,,
"social,_economic_and_education_reintegration","Social, economic and education reintegration",cpie,CPiE,protection,,,
six_grave_child_rights_violations,Six grave Child Rights Violations,cpie,CPiE,protection,,,
emergency_supplies_distribution,Emergency Supplies Distribution,cpie,CPiE,protection,,,
hrp-2023-unaccompanied-and-separated-children,(HRP 2023) Unaccompanied and separated children,cpie,CPiE,protection,,,
hrp-2023-capacity-building,(HRP 2023) Capacity building,cpie,CPiE,protection,,,
hrp-2023-case-management,(HRP 2023) Case management,cpie,CPiE,protection,,,
hrp-2023-psychosocial-distress-and-mental-disorders,(HRP 2023) Psychosocial distress and mental disorders,cpie,CPiE,protection,,,
community_sms_sensitization,Community/SMS sensitization,education_awareness,Education Awareness,eiewg,,,
school_campaign,Back to School Campaign,education_awareness,Education Awareness,education,,,
local_materials_tarps_tools_package,"Distribution, installation of tools, materials, tarps for localised emergency shelter",emergency_shelter,Emergency Shelter (Localised Solution),esnfi,,,
infrastructure_extension_settlement_space_covid_facilities,Infrastructure activities to extend settlement space for Covid related facilities,emergency_shelter,Emergency Shelter (Localised Solution),esnfi,,,
tent_distribution_2_tarps_package,Distribution of a Tent + 2 tarps-in-kind,emergency_shelter_kit,Emergency Shelter Kit,esnfi,,,
local_materials_tarps_tools_package,"Distribution, installation of tools, materials, tarps in-kind for localised emergnecy shelter.",emergency_shelter_kit,Emergency Shelter Kit,esnfi,,,
tent_distribution_2_tarps_package,Distribution of a Tent + 2 tarps-in-kind,emergency_shelter_kit_2tarps_1tent,Emergency Shelter Kit (2 Tarpaulin + 1 Tent),esnfi,,,
emergency_shelter_self_construction_repair_toolkit_distribution,Distribution of Emergency Shelter Self Construction / Repair Toolkit,emergency_shelter_self_construction_repair_toolkit,Emergency Shelter Self Construction / Repair Toolkit,esnfi,,,
returnee_referrals,Returnee Referrals,essential_services,Essential Services,rnr_chapter,,,
returnee_government_id,Returnee Gov. ID Provision,essential_services,Essential Services,rnr_chapter,,,
returnee_post_arrival_assistance,Returnee Post-Arrival Assistance,essential_services,Essential Services,rnr_chapter,,,
returnee_registered,Returnee Registration,essential_services,Essential Services,rnr_chapter,,,
provision_essential_supplies,Provision of Essential Supplies,essential_supplies,Essential Supplies,health,,,
provision-of-essential-supplies-awd_cholera-kit,8.1 Provision of essential supplies [AWD_Cholera Kit],essential_supplies,Essential Supplies,health,,,
provision-of-essential-supplies-dignity-kit,8.2 Provision of essential supplies [Dignity Kit],essential_supplies,Essential Supplies,health,,,
provision-of-essential-supplies-hygiene-kit,8.3 Provision of essential supplies [Hygiene Kit],essential_supplies,Essential Supplies,health,,,
provision-of-essential-supplies-ped-sam-kit,8.4 Provision of essential supplies [PED-SAM Kit],essential_supplies,Essential Supplies,health,,,
provision-of-essential-supplies-measles-kit,8.5 Provision of essential supplies [Measles Kit],essential_supplies,Essential Supplies,health,,,
provision-of-essential-supplies-interagency-emergency-health-kit-iehk,8.6 Provision of essential supplies [Interagency Emergency Health Kit (IEHK)],essential_supplies,Essential Supplies,health,,,
provision-of-essential-supplies-ncd-kits,8.7 Provision of essential supplies [NCD Kits],essential_supplies,Essential Supplies,health,,,
provision-of-essential-supplies-pneumonia-kit,8.8 Provision of essential supplies [Pneumonia Kit],essential_supplies,Essential Supplies,health,,,
provision-of-essential-supplies-reproductive-health-kit-rh,8.9 Provision of essential supplies [Reproductive Health Kit (RH)],essential_supplies,Essential Supplies,health,,,
provision-of-essential-supplies-trauma-and-emergency-surgery-kit-tesk,8.10 Provision of essential supplies [Trauma and Emergency Surgery Kit  (TESK)],essential_supplies,Essential Supplies,health,,,
provision-of-essential-supplies-other-kit,8.11 Provision of essential supplies [Other Kit],essential_supplies,Essential Supplies,health,,,
isets_and_idp_sites_with_app_psea_feedback_mechanism,ISETs and IDP sites with APP/PSEA - Feedback Mechanism,feedback_mechanisms,Feedback Mechanisms,cccm,,,
food_assistance_cbt,Food Assistance - CBT,food_assistance,Food Assistance,fsac,,,
food_assistance_in_kind,Food Assistance - in Kind,food_assistance,Food Assistance,fsac,,,
food_assistance,Food Assistance,food_assistance,Food Assistance,fsac,,,
fsac_cash_commodity_voucher,Commodity Voucher,food_assistance,Food Assistance,fsac,,,
fsac_in_kind,in Kind Food,food_assistance,Food Assistance,fsac,,,
fsac_cash_value_voucher,Value Voucher,food_assistance,Food Assistance,fsac,,,
fsac_cash,Cash for Food ( Unrestricted ),food_assistance,Food Assistance,fsac,,,
food_assistance_in_kind_ipc4_75,Food Assistance - in Kind - IPC4 (75% ration),food_assistance,Food Assistance,fsac,,,
food_assistance_in_kind_ipc3_50,Food Assistance - in Kind - IPC3 (50% ration),food_assistance,Food Assistance,fsac,,,
food_assistance_cbt_ipc4_75,Food Assistance - CBT - IPC4 (75% ration),food_assistance,Food Assistance,fsac,,,
food_assistance_cbt_ipc3_50,Food Assistance - CBT - IPC3 (50% ration),food_assistance,Food Assistance,fsac,,,
establishment_new_cbs_alc_non_formal,Establishment of New CBS/ALC (non-formal),school_establishment,Formal & Non-Formal School Establishment,eiewg,,,
establishment_temporary_classroom_formal,Establishment of Temporary Classroom (formal),school_establishment,Formal & Non-Formal School Establishment,eiewg,,,
catch_up_classes_dari_pashtu,Catch-up Classes (Dari/Pashtu),school_establishment,Formal & Non-Formal School Establishment,eiewg,,,
establishment_maintainance_cbe_alc_tc,Establishment/maintainance of CBE/ALCs/TCs,school_establishment,Formal & Non-Formal School Establishment,eiewg,,,
tents_24sqm,Tents (24 sq.m),school_establishment,Formal & Non-Formal School Establishment,eiewg,,,
tents_72sqm,Tents (72 sq.m),school_establishment,Formal & Non-Formal School Establishment,eiewg,,,
establishment_temporary_classroom,Establishment of Temporary Classrooms (TCs),school_establishment,Formal & Non-Formal School Establishment,education,,,
fsac_partners_assessments,Partners Assessment,fsac_assessments,FSAC Assessment,fsac,,,
health_assistance,Health assistance,gbv,GBV,protection,,,
legal_support,Legal Support,gbv,GBV,protection,,,
awareness_raising_and_advocacy,Awareness raising and advocacy,gbv,GBV,protection,,,
distribution_of_dignity_kits_to_women_and_girls,Distribution of dignity kits to women and girls,gbv,GBV,protection,,,
psychosocial_and_mental_health_assistance,Psychosocial and mental health assistance,gbv,GBV,protection,,,
training_capacity_building,Training/ Capacity building,gbv,GBV,protection,,,
integrated_case_management_services,Integrated case management services,gbv,GBV,protection,,,
livelihoods_and_recovery,Livelihoods and recovery,gbv,GBV,protection,,,
multi-sectoral_gbv_response_through_family_protection_centres_fpcs,Multi-sectoral GBV response through Family Protection Centres (FPCs),gbv,GBV,protection,,,
gbv_assessment,GBV Assessment,gbv,GBV,protection,,,
case_management_by_case_management_committees,Case management by case management committees,gbv,GBV,protection,,,
referrals_for_other_gbv_services,Referrals for other GBV services,gbv,GBV,protection,,,
referrals_for_gbv_case_management,Referrals for GBV case management,gbv,GBV,protection,,,
multi-sectoral_gbv_response_through_women_friendly_health_spaces_wfhss,Multi-sectoral GBV response through Women Friendly Health Spaces (WFHSs),gbv,GBV,protection,,,
placement_of_pss_counselors_in_health_facilities,Placement of PSS counselors in health facilities,gbv,GBV,protection,,,
pss_services_by_counselors_in_health_facilities,PSS services by counselors in health facilities,gbv,GBV,protection,,,
provision_of_pep_kits_to_health_facilities,Provision of PEP kits to health facilities,gbv,GBV,protection,,,
capacity_building_of_caregivers_on_gbv_services_including_pss,Capacity building of caregivers on GBV services including PSS,gbv,GBV,protection,,,
