activity_description_id,activity_description_name,activity_type_id,activity_type_name,cluster_id,,,
formation_of_pss_outreach_teams,Formation of PSS outreach teams,gbv,GBV,protection,,,
gbv_awareness_raising_through_community_dialogues,GBV awareness raising through community dialogues,gbv,GBV,protection,,,
advocacy_on_gbv_upward_and_downstream,Advocacy on GBV (upward and downstream),gbv,GBV,protection,,,
leadership_training_for_women_and_girls,Leadership training for women and girls,gbv,GBV,protection,,,
provision_of_dignity_kits,Provision of Dignity kits,gbv,GBV,protection,,,
pss_services_by_pss_outreach_teams,PSS services by PSS Outreach teams,gbv,GBV,protection,,,
gbv_services_to_gbv_survivors,GBV Services to GBV Survivors,gbv,GBV,protection,,,
vocational_training_for_women_and_girls,Vocational training for women and girls,gbv,GBV,protection,,,
establishment_of_women-friendly_health_spaces,Establishment of Women-Friendly Health Spaces,gbv,GBV,protection,,,
gbv_and_pss_services_through_women-friendly_health_spaces,GBV and PSS Services Through Women-Friendly Health Spaces,gbv,GBV,protection,,,
provision_of_dignity_kits_to_gbv_survivors,Provision of Dignity Kits to GBV Survivors,gbv,GBV,protection,,,
provision_dignity_kit,Provision of Dignity Kits,gbv,GBV,protection,,,
provision_package,"Provision of Survivor Centred Multi-Sectoral Services (Health, Legal, Material, PSS) ",gbv,GBV,protection,,,
psycho_social_outreach,Psycho Social Responsive Outreach,gbv,GBV,protection,,,
awareness_community_mobilization,Community Mobilization / Awareness,gbv,GBV,protection,,,
training_public_sector_caregivers,Training / Capacity Building of Public Sector Caregivers,gbv,GBV,protection,,,
capacity_of_frontline_providers_to_respond_to_gbv_is_built,Capacity of frontline providers to respond to GBV is built,gbv,GBV,protection,,,
hrp-2023-data-collection-storage-and-sharing,"(HRP 2023) Data collection, storage and sharing",gbv,GBV,protection,,,
hrp-2023-multi-sectoral-engagement-health-legaljustice-security-psychosocial,"(HRP 2023) Multi sectoral engagement (health, legal/justice, security, psychosocial)",gbv,GBV,protection,,,
protection_monitoring,Protection Monitoring,gp,GP,protection,,,
psn_identification_assistance_and_referrals,"PSN Identification, assistance and Referrals",gp,GP,protection,,,
community_based_protection,Community-Based Protection,gp,GP,protection,,,
protection_monitoring_household_survey_or_community_level,Protection monitoring (household survey or community level),gp,GP,protection,,,
psychosocial_support_pss,Psychosocial Support (PSS),gp,GP,protection,,,
protection_monitoring_reports,Protection monitoring (Reports),gp,GP,protection,,,
legal_counselling_or_legal_assistance_civil_and_identity_documentation,Legal counselling or legal assistance (civil and identity documentation),gp,GP,protection,,,
cash_for_protection_outcomes_unrestricted,Cash for Protection outcomes (unrestricted),gp,GP,protection,,,
persons_with_specific_needs_psn_case_identification_and_referrals_to_specialized_services,Persons with Specific Needs (PSN) Case identification and referrals to specialized services,gp,GP,protection,,,
community-based_protection_projects,Community-based Protection projects,gp,GP,protection,,,
"individual_protection_assistance_ipa,_in-kind_or_cash_restricted","Individual Protection Assistance (IPA), in-kind or cash (restricted)",gp,GP,protection,,,
"capacity_building_training_on_protection_mainstreaming,_cbpm,_ihl,_drr,_advocacy_etc..","Capacity Building (training on protection mainstreaming, CBPM, IHL, DRR, advocacy etc..)",gp,GP,protection,,,
protection_sensitisation_and_advocacy,Protection Sensitisation and Advocacy,gp,GP,protection,,,
awareness_raising_and_dissemination_of_information,Awareness Raising and Dissemination of information,gp,GP,protection,,,
direct_or_referral_protection_assistance_for_people_with_specific_needs_or_heightened_vulnerability,Direct or Referral Protection Assistance for People with Specific Needs or Heightened Vulnerability,gp,GP,protection,,,
community-based_protection-related_activities,Community-Based Protection-Related Activities,gp,GP,protection,,,
protection_negotiation_and_advocacy_for_re-opening_of_conflict-affected_schools,Protection Negotiation and Advocacy for Re-Opening of Conflict-Affected Schools,gp,GP,protection,,,
post-arrival_assistance_to_returnees,Post-Arrival Assistance to Returnees,gp,GP,protection,,,
community_sensitisation,Community Sensitization,gp,GP,protection,,,
protection_mainstreaming,"Coordination, Advocacy & Protection Mainstreaming",gp,GP,protection,,,
identification_families_specific_needs,"Identification, Referral, Support to Individuals and Families with Specific Needs",gp,GP,protection,,,
assessment_protection,Protection Monitoring & Needs Assessments,gp,GP,protection,,,
cash_grant_transit_centres_refugee_returnees,Cash Grant and Transit Centres for Refugee Returnees,gp,GP,protection,,,
gp_referrals,Referral Services,gp,GP,protection,,,
post_arrival_assistance_undocumented_returnees,Post-arrival Assistance to Undocumented Returnees,gp,GP,protection,,,
protection_specialized_in_kind_returnees_assistance,Protection Specialized In-Kind Assistance to Returnees,gp,GP,protection,,,
monitoring_documentation_protection_incidents,Monitoring and Documentation of Protection Incidents,gp,GP,protection,,,
provision_of_cash_for_protection_aligned_on_meb,Provision of Cash for Protection ( aligned on MEB),gp,GP,protection,,,
community-based_protection_activities,Community-Based Protection activities,gp,GP,protection,,,
provision_of_individual_protection_assistance_ipa:_in-kind,Provision of Individual Protection Assistance (IPA): In-kind,gp,GP,protection,,,
provision_of_psycho-social_support_pss_assistance,Provision of Psycho-Social Support (PSS) Assistance,gp,GP,protection,,,
provision_of_individual_protection_assistance_ipa:_emergency_cash_assistance,Provision of Individual Protection Assistance (IPA): emergency cash assistance,gp,GP,protection,,,
provision_of_legal_counselling_and_assistance_identity_and_civil_documentation,Provision of Legal Counselling and Assistance (Identity and Civil documentation),gp,GP,protection,,,
anti_counter_trafficking,Anti/counter Trafficking,gp,GP,protection,,,
hrp-2023-general-protection,(HRP 2023) General Protection,gp,GP,protection,,,
education_health,Health Education & Awareness,health_education_training,"Health Education, Training & Awareness",health,,,
training_health,Training Health Providers,health_education_training,"Health Education, Training & Awareness",health,,,
education_hprc,Health Education & Awareness,health_promotion_risk_communication,Health Promotion and Risk Communication,health,,,
provision_covid_19_services,Provision of COVID-19 Services,health_promotion_risk_communication,Health Promotion and Risk Communication,health,,,
health-education-awareness-at-health-facility,9.1 Health education & awareness at health facility,health_promotion_risk_communication,Health Promotion and Risk Communication,health,,,
health-education-awareness-at-community,9.2 Health education & awareness at community,health_promotion_risk_communication,Health Promotion and Risk Communication,health,,,
support-rcce-activities-for-communicable-diseases-outbreak,9.3 Support RCCE activities for communicable diseases outbreak,health_promotion_risk_communication,Health Promotion and Risk Communication,health,,,
information_counselling_and_legal_assistance,"Information, Counselling and Legal Assistance",hlp,HLP,protection,,,
information_sharing_on_hlp_durable_solutions,"Information Sharing on HLP, Durable Solutions",hlp,HLP,protection,,,
training_capacity_building,Training/ Capacity building,hlp,HLP,protection,,,
information_sharing_on_hlp_durable_solutions_legal_identity,"Information Sharing on HLP, Durable Solutions, Legal Identity",hlp,HLP,protection,,,
counselling_and_or_legal_assistance_on_hlp_legal_identity,"Counselling and/or Legal Assistance on HLP, Legal Identity",hlp,HLP,protection,,,
counselling_and_or_legal_assistance_on_hlp,Counselling and/or Legal Assistance on HLP,hlp,HLP,protection,,,
capacity_building_of_duty-bearers_on_hlp,Capacity Building of Duty-Bearers on HLP,hlp,HLP,protection,,,
capacity_building_of_duty-bearers_on_hlp_legal_identity,"Capacity Building of Duty-Bearers on HLP, legal identity",hlp,HLP,protection,,,
land_identification_allocation,Land Identification & Allocation,hlp,HLP,protection,,,
awareness_advocacy_tenure,Security of Tenure Assistance Activities & Advocacy,hlp,HLP,protection,,,
awareness_advocacy_settlement,Settlement Profiling for Durable Solutions,hlp,HLP,protection,,,
dispute_resolution,HLP Disputes Resolution,hlp,HLP,protection,,,
awareness_information_hpl,"Provision of information, legal assistance and counselling on HLP",hlp,HLP,protection,,,
awareness_information_lcd,"Provision of information, legal assistance and counselling on LCD",hlp,HLP,protection,,,
housing_property_damage_assessment,Conducting Housing and Property Damage Assessments,hlp,HLP,protection,,,
"information,_counselling_and_legal_assistance","Information, Counselling and Legal Assistance",hlp,HLP,protection,,,
land_identification_and_allocation,Land identification and allocation,hlp,HLP,protection,,,
hrp-2023-access-to-land,(HRP 2023) Access to Land,hlp,HLP,protection,,,
education_hygiene_promotion_school,Hygiene Promotion - School,hygiene,Hygiene Activities,wash,,,
education_hygiene_promotion_household_community,Hygiene Promotion - Household / Community,hygiene,Hygiene Activities,wash,,,
family_hygiene_kits_distributed,Family Hygiene Kits Distributed,hygiene,Hygiene Activities,wash,,,
hand_washing_facilities,Hand Washing Facilities - NEW / REHAB,hygiene,Hygiene Activities,wash,,,
hygiene_promotion_health_facilities,Hygiene Promotion - Health Facilities,hygiene,Hygiene Activities,wash,,,
disinfection_common_places_chlorine,Disinfection of Common Places with Chlorine,hygiene,Hygiene Activities,wash,,,
hand_washing_facilities_new,Hand Washing Facilities - NEW,hygiene,Hygiene Activities,wash,,,
hand_washing_facilities_rehab,Hand Washing Facilities - REHAB,hygiene,Hygiene Activities,wash,,,
hygiene-promotion-at-hh-level,Hygiene promotion at HH level,hygiene,Hygiene Activities,wash,,,
hygiene-promotion-at-community-level,Hygiene promotion at community level,hygiene,Hygiene Activities,wash,,,
hygiene-promotion-in-schools,Hygiene promotion in schools,hygiene,Hygiene Activities,wash,,,
hygiene-promotion-in-hcf,Hygiene promotion in HCF,hygiene,Hygiene Activities,wash,,,
mass-communication-hp-campaigns,Mass communication HP campaigns,hygiene,Hygiene Activities,wash,,,
iec-material-distribution,IEC material distribution,hygiene,Hygiene Activities,wash,,,
vunerable_population_assistance,Vulnerable Population Assistance,immediate_needs,Immediate Needs,rnr_chapter,,,
diarrhea_treatment,Diarrhea Treatment,infectious_diseases,Infectious Diseases,health,,,
livelihood_support_cbt,Livelihood Support - CBT,livelihood_support,Livelihood Support,fsac,,,
livelihood_support_in_kind,Livelihood Support - in Kind,livelihood_support,Livelihood Support,fsac,,,
livelihood_support_cash_for_work,Cash for Work,livelihood_support,Livelihood Support,fsac,,,
livelihood_support_agriculture,Agriculture,livelihood_support,Livelihood Support,fsac,,,
livelihood_support,Livelihood Support,livelihood_support,Livelihood Support,fsac,,,
livelihood_support_livestock,Livestock,livelihood_support,Livelihood Support,fsac,,,
hand_tools_distribution,Hand Tools Distribution,livelihood_support,Livelihood Support,fsac,,,
livelihood_support_unconditional_cash,Unconditional Cash Transfer,livelihood_support,Livelihood Support,fsac,,,
animal_vaccination_ppr,Animal Vaccination PPR,livestock_support,Livestock Based Support,fsac,,,
animal_vaccination_fmd,Animal Vaccination FMD,livestock_support,Livestock Based Support,fsac,,,
animal_vaccination_deworming,Animal Vaccination / Deworming,livestock_support,Livestock Based Support,fsac,,,
poultry,Poultry,livestock_support,Livestock Based Support,fsac,,,
animal_feed_fodder_distribution_cbt,Animal Feed / Fodder Distribution - CBT,livestock_support,Livestock Based Support,fsac,,,
animal_feed_fodder_distribution_in_kind,Animal Feed / Fodder Distribution - In Kind,livestock_support,Livestock Based Support,fsac,,,
provision_of_land_clearance,Provision of land clearance,ma,MA,protection,,,
provision_of_explosive_ordnance_disposal_eod,Provision of Explosive Ordnance Disposal (EOD),ma,MA,protection,,,
provision_of_explosive_ordnance_risk_education_eore,Provision of Explosive Ordnance Risk Education (EORE),ma,MA,protection,,,
explosive_hazard_clearance_people_benefitting,Explosive Hazard Clearance (People Benefitting),ma,MA,protection,,,
explosive_hazard_clearance_square_metres_cleared,Explosive Hazard Clearance (Square Metres Cleared),ma,MA,protection,,,
explosive_ordnance_disposal_eod_survey,Explosive Ordnance Disposal (EOD) & Survey,ma,MA,protection,,,
explosive_ordnance_risk_education_eore,Explosive Ordnance Risk Education (EORE),ma,MA,protection,,,
targeted_assistance_or_referral_of_persons_with_disabilities,Targeted Assistance or Referral of Persons with Disabilities,ma,MA,protection,,,
ma_mine_surveys,Mine Surveys,ma,MA,protection,,,
education_mine_risk,Mine Risk Education ( MRE ),ma,MA,protection,,,
ma_demining,Demining / EOD including Hotline Response,ma,MA,protection,,,
ma_mine_awareness,Mine Awareness,ma,MA,protection,,,
ma_pwd_rights_awareness_provision,Provision of awareness on the rights of PwD,ma,MA,protection,,,
ma_referral_services,Referral Services,ma,MA,protection,,,
ma_pwd_assistance,Providing targeted assistance of PwDs,ma,MA,protection,,,
ma_explosive_hazards_surveys,Conduct explosive hazards area surveys,ma,MA,protection,,,
ma_awareness_ihl_provision,"Provide awareness of IHL to Government, AGEs and humanitarian actors",ma,MA,protection,,,
victim_assistance,Victim Assistance,ma,MA,protection,,,
hrp-2023-clearance-of-mines-and-other-explosive-remnants-of-war-erw,(HRP 2023) Clearance of Mines and other Explosive Remnants of War (ERW),ma,MA,protection,,,
hrp-2023-victim-assistance,(HRP 2023) Victim Assistance,ma,MA,protection,,,
provision_maternal_newborn_child_health_services,"Provision of Maternal, Newborn and Child Health (MNCH) Services",maternal_newborn_child_health,"Maternal, Newborn and Child Health (MNCH)",health,,,
provision-of-ante-natal-care-anc-visits-,5.1 Provision of Ante-Natal Care (ANC) visits ,maternal_newborn_child_health,"Maternal, Newborn and Child Health (MNCH)",health,,,
provision-of-post-natal-care-pnc-visits,5.2 Provision of Post-Natal Care (PNC) visits,maternal_newborn_child_health,"Maternal, Newborn and Child Health (MNCH)",health,,,
provision-of-skilled-birth-services,5.3 Provision of skilled birth services,maternal_newborn_child_health,"Maternal, Newborn and Child Health (MNCH)",health,,,
provision-of-tt2-vaccination-services-to-women,5.4 Provision of TT2 vaccination services to women,maternal_newborn_child_health,"Maternal, Newborn and Child Health (MNCH)",health,,,
provision-of-tt2-vaccination-services-to-pregnant-women,5.5 Provision of TT2 vaccination services to pregnant women,maternal_newborn_child_health,"Maternal, Newborn and Child Health (MNCH)",health,,,
provision_mental_health_psychosocial_support_services,Provision of Mental Health and Psychosocial Support (MHPSS) Services,mental_health_psychosocial_support,Mental Health and Psychosocial Support (MHPSS),health,,,
provision-of-mental-health-and-psychosocial-support-mhpss-consultations,4.1 Provision of Mental Health and Psychosocial Support (MHPSS) consultations,mental_health_psychosocial_support,Mental Health and Psychosocial Support (MHPSS),health,,,
establish_mobile_cccm_team_per_site_area,Establish Mobile CCCM Team per site/area,mobile_site_management,Mobile Site Management,cccm,,,
emergency_obstetric_neonatal_care,Emergency Obstetric Neonatal Care,mch,Mother & Child Health Care (MCH),health,,,
antenatal_care_mch,Antenatal Care,mch,Mother & Child Health Care (MCH),health,,,
postnatal_care_mch,Postnatal Care,mch,Mother & Child Health Care (MCH),health,,,
education_mch,Health Education & Awareness,mch,Mother & Child Health Care (MCH),health,,,
training_mch,Training Health Providers,mch,Mother & Child Health Care (MCH),health,,,
childhood_illness_ari_diarrhoea,Childhood Illness (ARI and Diarrhoea),mch,Mother & Child Health Care (MCH),health,,,
antenatal_postnatal_visit,Antenatal and Postnatal Visit,mch,Mother & Child Health Care (MCH),health,,,
skilled_birth_attendant_mch,Skilled Birth Attendant,mch,Mother & Child Health Care (MCH),health,,,
integrated_management_childhood_illness_imci_under_5_age_mch,Integrated Management Childhood Illness (IMCI) under 5 age,mch,Mother & Child Health Care (MCH),health,,,
tt_plus_vaccination_mch,Vaccination ( TT+ ),mch,Mother & Child Health Care (MCH),health,,,
tt_2_vaccination_mch,Vaccination ( TT2 ),mch,Mother & Child Health Care (MCH),health,,,
tt_1_vaccination_mch,Vaccination ( TT1 ),mch,Mother & Child Health Care (MCH),health,,,
mpc_cash_modified_transfer_value,Modified Transfer Value,cvwg_multi_purpose_cash,Multi-Purpose Cash,cvwg,,,
mpc_cash_harmonized_meb_based_transfer_value,Harmonized MEB Based Transfer Value,cvwg_multi_purpose_cash,Multi-Purpose Cash,cvwg,,,
mpc_cash_protection_grant,Specialized Protection Cash Grant,cvwg_multi_purpose_cash,Multi-Purpose Cash,cvwg,,,
mpc_cash_grant_other,Other MPC Grant,cvwg_multi_purpose_cash,Multi-Purpose Cash,cvwg,,,
mpc_cash_post_arrival_grant,Post-Arrival Cash Grant (Returnees only),cvwg_multi_purpose_cash,Multi-Purpose Cash,cvwg,,,
mpc_cash_smeb,Survival Minimum Expenditure Basket (SMEB),cvwg_multi_purpose_cash,Multi-Purpose Cash,cvwg,,,
standard_nfi_package,NFI Package,nfi_package,NFI Package,esnfi,,,
nfi_package,NFI Package,nfi_package,NFI Package,esnfi,,,
vocational_skills_training_in_cbt,Vocational Skills Training - CBT,non_agriculture_livelihood_support,Non-Agriculture Based Livelihood Support,fsac,,,
vocational_skills_training_in_kind,Vocational Skills Training - In Kind,non_agriculture_livelihood_support,Non-Agriculture Based Livelihood Support,fsac,,,
asset_creation_in_kind,Asset Creation - In Kind,non_agriculture_livelihood_support,Non-Agriculture Based Livelihood Support,fsac,,,
asset_creation_in_cbt,Asset Creation - CBT,non_agriculture_livelihood_support,Non-Agriculture Based Livelihood Support,fsac,,,
vitamin_supplements_6_59_months,Vitamin A Supplementation 6-59 Months,nutrition_emergency,Nutrition Emergency,nutrition,,,
deworming_24_59_months_emergency,Deworming 24-59 Months,nutrition_emergency,Nutrition Emergency,nutrition,,,
bsfp_recieved_6_59_months,BSFP Received 6-59 Months,nutrition_emergency,Nutrition Emergency,nutrition,,,
bsfp_recieved_plw_emergency,BSFP Received PLW,nutrition_emergency,Nutrition Emergency,nutrition,,,
education_infant_young_children_feeding_emergency,Infant Young Children Feeding (IYCF) Counselling/Coaching,nutrition_emergency,Nutrition Emergency,nutrition,,,
muac_oedema_acute_malnutrition_screening,MUAC/Oedema Acute Malnutrition Screening,nutrition_emergency,Nutrition Emergency,nutrition,,,
muac_lt_11_5_cm_referral,MUAC < 11.5 cm IPD/OPD SAM & OPD-MAM Referral,nutrition_emergency,Nutrition Emergency,nutrition,,,
oedema_referral,Oedema IPD/OPD SAM & OPD-MAM Referral,nutrition_emergency,Nutrition Emergency,nutrition,,,
muac_gt_11_5_lt_12_5_cm_referral,MUAC > 11.5 cm to <12.5 cm IPD/OPD SAM & OPD-MAM Referral,nutrition_emergency,Nutrition Emergency,nutrition,,,
micronutrients_recieved_6_59_months,Micronutrients Received 6-59 Months,nutrition_emergency,Nutrition Emergency,nutrition,,,
deworming_24_59_months,Deworming 24-59 Months,nutrition_programmes,Nutrition Programmes,nutrition,,,
bsfp_recieved_6_23_months,BSFP Received 6-23 Months,nutrition_programmes,Nutrition Programmes,nutrition,,,
bsfp_recieved_plw,BSFP Received PLW,nutrition_programmes,Nutrition Programmes,nutrition,,,
vitamin_supplements_0_59_months,Vitamin A Supplementation 0-59 Months,nutrition_programmes,Nutrition Programmes,nutrition,,,
nutrition_health_education_session,Nutrition and Health Education Session,nutrition_education_training,Nutrition Training,nutrition,,,
training_nutrition_emergencies,Nutrition in Emergencies,nutrition_education_training,Nutrition Training,nutrition,,,
education_infant_young_children_feeding,Infant Young Children Feeding (IYCF) Counselling/Coaching,nutrition_education_training,Nutrition Training,nutrition,,,
training_cluster_approach,Cluster Approach,nutrition_education_training,Nutrition Training,nutrition,,,
"isets_idp_sites_with_representative_governance_structures,_community_focal_points_and_committees","ISETs / IDP Sites with Representative Governance Structures, Community Focal Points and Committees",participation,Participation,cccm,,,
permanent_shelter_construction_1_room,Construction of 1 room permanent shelter,permanent_shelter,Permanent Shelter,esnfi,,,
permanent_shelter_construction_2_room,Construction of 2 room permanent shelter,permanent_shelter,Permanent Shelter,esnfi,,,
permanent_shelter_construction_1_room,Construction of an average sized family permanent shelter (1 bedroomed),permanent_shelter,Permanent Shelter,esnfi,,,
permanent_shelter_construction_2_room,Construction of an average sized family permanent shelter (2 bedroomed),permanent_shelter,Permanent Shelter,esnfi,,,
population_profiling_and_registration_in_isets_and_idp_sites,Population Profiling and Registration in ISETs and IDP Sites,population_information_management,Population Information Management,cccm,,,
opd_consultation,OPD Consultation,primary_health_care,Primary Health Care,health,,,
phc_referrals,OPD Referrals,primary_health_care,Primary Health Care,health,,,
psycho_social,Psycho Social Support,primary_health_care,Primary Health Care,health,,,
number_of_physical_rehabilitation_session,Number of Physical Rehabilitation Session,primary_health_care,Primary Health Care,health,,,
antenatal_care,Antenatal Care,primary_health_care,Primary Health Care,health,,,
postnatal_care,Postnatal Care,primary_health_care,Primary Health Care,health,,,
skilled_birth_attendant,Skilled Birth Attendant,primary_health_care,Primary Health Care,health,,,
penta_3,Vaccination ( Penta3 ),primary_health_care,Primary Health Care,health,,,
measles,Vaccination ( Measles ),primary_health_care,Primary Health Care,health,,,
rape_management_referrals,Rape Management & Referrals,primary_health_care,Primary Health Care,health,,,
training_phc,Training Health Providers,primary_health_care,Primary Health Care,health,,,
education_phc,Health Education & Awareness,primary_health_care,Primary Health Care,health,,,
provision-of-primary-health-care-consultations,1.1 Provision of primary health care consultations,primary_health_care_services,Primary Health Care,health,,,
provision-of-primary-health-care-referral-services,1.2 Provision of primary health care referral services,primary_health_care_services,Primary Health Care,health,,,
support-delivery-of-disability-and-physical-rehabilitation-services,1.3 Support delivery of disability and physical rehabilitation services,primary_health_care_services,Primary Health Care,health,,,
diarrhea-and-oral-rehydration-solution-ors-treatment-,1.4 Diarrhea and oral rehydration solution (ORS) Treatment ,primary_health_care_services,Primary Health Care,health,,,
support-delivery-of-primary-health-care-services-including-non-communicable-diseases,1.5 Support delivery of primary health care services including non-communicable diseases,primary_health_care_services,Primary Health Care,health,,,
access-to-health-care-services,1.6 Access to health care services,primary_health_care_services,Primary Health Care,health,,,
provision_primary_health_care_services,Provision of Primary Health Care Services,primary_health_care_services,Primary Health Care Services,health,,,
physical_rehabilitation,Physical Rehabilitation,primary_health_care_services,Primary Health Care Services,health,,,
access_health_care_services,Access to Health Care Services,primary_health_care_services,Primary Health Care Services,health,,,
psycho_social_support,Psycho-Social Support (PSS),protection_activities,Protection Activities,eiewg,,,
social_mobilization,Social Mobilization,protection_activities,Protection Activities,eiewg,,,
mine_reduction_education_mre,Mine Reduction Education (MRE),protection_activities,Protection Activities,eiewg,,,
nwa_refugees_registration,NWA Refugee Registration,protection_interventions,Protection Interventions,rnr_chapter,,,
nwa_refugees_food,NWA Refugee Food Provision,protection_interventions,Protection Interventions,rnr_chapter,,,
nwa_refugees_targeted_assistance,NWA Refugee Targeted Assistance,protection_interventions,Protection Interventions,rnr_chapter,,,
quick_fix_repair_of_schools,Quick Fixing/Repairing of Schools,quick_fix_repair_of_schools,Quick Fixing/Repairing of Schools,eiewg,,,
rental_support_6_month_package,Rental Support for 6 Months,rental_support,Rental Support,esnfi,,,
rental_support_3_month_package,Rental Support for 3 Months,rental_support,Rental Support,esnfi,,,
rental_support_3_month_package,Rental Support for 3 Month,rental_support_3_month,Rental Support for 3 Month,esnfi,,,
intention_return_surveys,Intention / Return Surveys,return_relocation_integration,Return/ Relocation/ Integration,cccm,,,
"provision_of_displacement_sites_with_active_relocation,_resettlement_or_return_programmes","Provision of Displacement Sites with Active relocation, Resettlement or Return Programmes",return_relocation_integration,Return/ Relocation/ Integration,cccm,,,
Risk communication and information campaigns on COVID-19,Risk communication and information campaigns on COVID-19,risk_communication,Risk Communication,esnfi,,,
latrine_stalls_household,Latrine Stalls - Household NEW / REHAB,sanitation,Sanitation Activities,wash,,,
latrine_stalls_communal,Latrine Stalls - Communal NEW / REHAB,sanitation,Sanitation Activities,wash,,,
latrine_stalls_desludged,Latrine Stalls - Desludged,sanitation,Sanitation Activities,wash,,,
latrine_stalls_decommissioned,Latrine Stalls - Decommissioned,sanitation,Sanitation Activities,wash,,,
latrine_cleaning_kit,Latrine Cleaning Kit,sanitation,Sanitation Activities,wash,,,
latrine_stalls_school,Latrine Stalls - School NEW / REHAB,sanitation,Sanitation Activities,wash,,,
latrine_stalls_health_facility,Latrine Stalls - Health Facility NEW / REHAB,sanitation,Sanitation Activities,wash,,,
septic_tank,Septic Tank - NEW / REHAB,sanitation,Sanitation Activities,wash,,,
sewer_line,Sewer Line - NEW / REHAB,sanitation,Sanitation Activities,wash,,,
drainage_provision,Provision of Drainage,sanitation,Sanitation Activities,wash,,,
solid_waste_management,Solid Waste Management,sanitation,Sanitation Activities,wash,,,
education_vector_control_awareness,Vector Control Awareness Campaign,sanitation,Sanitation Activities,wash,,,
washing_facilities,Bathing / Washing Facilities - NEW / REHAB,sanitation,Sanitation Activities,wash,,,
latrine_stalls_communal_new,Latrine Stalls - Communal - NEW,sanitation,Sanitation Activities,wash,,,
latrine_stalls_school_new,Latrine Stalls - School - NEW,sanitation,Sanitation Activities,wash,,,
latrine_stalls_household_new,Latrine Stalls - Household - NEW,sanitation,Sanitation Activities,wash,,,
latrine_stalls_health_facility_new,Latrine Stalls - Health Facility - NEW,sanitation,Sanitation Activities,wash,,,
latrine_stalls_household_rehab,Latrine Stalls - Household - REHAB,sanitation,Sanitation Activities,wash,,,
latrine_stalls_health_facility_rehab,Latrine Stalls - Health Facility - REHAB,sanitation,Sanitation Activities,wash,,,
latrine_stalls_school_rehab,Latrine Stalls - School - REHAB,sanitation,Sanitation Activities,wash,,,
septic_tank_rehab,Septic Tank - REHAB,sanitation,Sanitation Activities,wash,,,
sewer_line_rehab,Sewer Line - REHAB,sanitation,Sanitation Activities,wash,,,
latrine_stalls_communal_rehab,Latrine Stalls - Communal - REHAB,sanitation,Sanitation Activities,wash,,,
washing_facilities_new,Bathing / Washing Facilities - NEW,sanitation,Sanitation Activities,wash,,,
sewer_line_new,Sewer Line - NEW,sanitation,Sanitation Activities,wash,,,
washing_facilities_rehab,Bathing / Washing Facilities - REHAB,sanitation,Sanitation Activities,wash,,,
septic_tank_new,Septic Tank - NEW,sanitation,Sanitation Activities,wash,,,
construct-handwashing-facilities-in-hh,Construct handwashing facilities in HH,sanitation,Sanitation Activities,wash,,,
construct-handwashing-facilities-in-public-spaces,Construct handwashing facilities in public spaces,sanitation,Sanitation Activities,wash,,,
construct-handwashing-facilities-in-schools,Construct handwashing facilities in schools,sanitation,Sanitation Activities,wash,,,
construct-handwashing-facilities-in-hcf,Construct handwashing facilities in HCF,sanitation,Sanitation Activities,wash,,,
construct-communal-latrines-with-hadwashing-facilities,Construct communal latrines with hadwashing facilities,sanitation,Sanitation Activities,wash,,,
